Price,Total_Room,Bathroom_Count,Net_M2,Number_of_Floors,Floor,Furnished_Status,Is_New_Building,Is_Occupied,Is_Swap_Available,In_a_Complex,Loan_Eligibility,KonutTipi_Bina,KonutTipi_Daire,KonutTipi_Kooperatif,KonutTipi_Mustakil,KonutTipi_Yali,Age_0,Age_1-5,Age_6-10,Age_11-20,Age_21-30,Age_31-40,Age_41-50,Age_51-70,Heating_Diger-Belirsiz,Heating_Kombi-Bireysel Doğalgaz,Heating_Merkezi Sistem,Heating_Soba-Geleneksel,Heating_Yerden Isıtma-Modern,Tapu_Diger/Riskli,Tapu_Hisseli Mülkiyet,Tapu_Kat İrtifakı,Tapu_Tam Mülkiyet,Building_Type_Encoded,Ground_Risk,District,Neighborhood,District_Encoded,Neighborhood_Encoded,Price_Per_Sqrft
13500000,4,2.0,130,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7894736842105263,Beşiktaş,Beşiktaş_Vişnezade Mah.,28991163.79310345,26216666.666666668,103846.15384615384
12000000,4,2.0,99,4,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.42105263157894735,Pendik,Pendik_Doğu Mah.,7396266.272189349,7550000.0,121212.12121212122
6750000,3,1.0,70,5,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Bahçelievler,Bahçelievler_Şirinevler Mah.,7870796.988721805,6060444.444444444,96428.57142857143
10500000,6,3.0,150,6,6.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.368421052631579,Eyüpsultan,Eyüpsultan_Çırçır Mah.,11773866.801242236,6751578.947368421,70000.0
12850000,5,2.0,130,4,4.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Maltepe,Maltepe_Küçükyalı Mah.,9052089.944444444,9369519.23076923,98846.15384615384
5750000,3,1.0,90,6,3.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.4736842105263158,Sancaktepe,Sancaktepe_Yenidoğan Mah.,5883230.753846154,5204285.714285715,63888.88888888889
11000000,4,2.0,120,8,5.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Pendik,Pendik_Doğu Mah.,7694755.952380952,10990000.0,91666.66666666667
6500000,3,2.0,80,7,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.43157894736842106,Çekmeköy,Çekmeköy_Sultançiftliği Mah.,10397428.556390977,8707692.307692308,81250.0
2445000,3,1.0,85,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.42105263157894735,Gaziosmanpaşa,Gaziosmanpaşa_Yeni Mahalle Mah.,6126288.659793815,3733750.0,28764.70588235294
2250000,2,1.0,62,14,8.0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9473684210526316,Esenyurt,Esenyurt_Cumhuriyet Mah.,3310246.2045454546,2314000.0,36290.32258064516
17500000,5,2.0,170,4,3.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9473684210526316,Bahçelievler,Bahçelievler_Yenibosna Merkez Mah.,7773992.75,10003437.5,102941.17647058824
